TEsubFam,X1,X2,TEFam,class,fam,count,age1.curated,is.age.curated,Hmark,mean_odds,combo_fisher,mean_combo
EUTREP4,0.794032025501695,0.974377840207371,DNA?/PiggyBac?,DNA,PiggyBac?,294,105,Eutheria,H3K36me3,1.81762500700111,1,-3.19577707290625
EUTREP4,0.794032025501695,0.974377840207371,DNA?/PiggyBac?,DNA,PiggyBac?,294,105,Eutheria,H3K4me1,1.10718617936758,1,-0.9595223397909
EUTREP4,0.794032025501695,0.974377840207371,DNA?/PiggyBac?,DNA,PiggyBac?,294,105,Eutheria,H3K4me3,0.353216686252792,1,-2.25890459381225
EUTREP4,0.794032025501695,0.974377840207371,DNA?/PiggyBac?,DNA,PiggyBac?,294,105,Eutheria,H3K9me3,4.8163360904182,1,-1.02624384739113
EUTREP7,0.0329156195152889,1.6901291649885,LTR/ERV1,LTR,ERV1,275,127,No,H3K27ac,0.762407075986589,1,-0.469176385596466
EUTREP7,0.0329156195152889,1.6901291649885,LTR/ERV1,LTR,ERV1,275,127,No,H3K27me3,3.27980910709749,1,-0.623998210741516
EUTREP7,0.0329156195152889,1.6901291649885,LTR/ERV1,LTR,ERV1,275,127,No,H3K36me3,1.83415258832148,1,-2.3869877088983
EUTREP7,0.0329156195152889,1.6901291649885,LTR/ERV1,LTR,ERV1,275,127,No,H3K4me1,1.14251802439324,1,-0.643938170510392
EUTREP7,0.0329156195152889,1.6901291649885,LTR/ERV1,LTR,ERV1,275,127,No,H3K4me3,0.75880361650895,1,-0.232722497338352
EUTREP7,0.0329156195152889,1.6901291649885,LTR/ERV1,LTR,ERV1,275,127,No,H3K9me3,4.85904874412966,1,-0.250622071692893
EUTREP8,1.1405353259629,2.21181994005615,LTR,LTR,,275,159,No,H3K27ac,4.62223014290541,1,0.0461003182950796
EUTREP8,1.1405353259629,2.21181994005615,LTR,LTR,,275,159,No,H3K27me3,86.9466724890732,1,0.0670018548713724
EUTREP8,1.1405353259629,2.21181994005615,LTR,LTR,,275,159,No,H3K36me3,49.3208867279517,0.993838929694597,0.420243925387811
EUTREP8,1.1405353259629,2.21181994005615,LTR,LTR,,275,159,No,H3K4me1,18.6803489139913,1,0.186895390858278
EUTREP8,1.1405353259629,2.21181994005615,LTR,LTR,,275,159,No,H3K4me3,7.5037476799901,1,-0.872564843793747
EUTREP8,1.1405353259629,2.21181994005615,LTR,LTR,,275,159,No,H3K9me3,133.856671235139,1,0.965302299422925
EutTc1-N1,-2.70956424930837,1.83520966710417,DNA/TcMar-Tc1,DNA,TcMar-Tc1,56,105,Eutheria,H3K27ac,0.854571678423458,1,-0.340648992417525
EutTc1-N1,-2.70956424930837,1.83520966710417,DNA/TcMar-Tc1,DNA,TcMar-Tc1,56,105,Eutheria,H3K27me3,16.023587232965,1,0.0836965783048963
EutTc1-N1,-2.70956424930837,1.83520966710417,DNA/TcMar-Tc1,DNA,TcMar-Tc1,56,105,Eutheria,H3K36me3,11.2030719944646,9.43668613990469e-80,2.71151430190077
EutTc1-N1,-2.70956424930837,1.83520966710417,DNA/TcMar-Tc1,DNA,TcMar-Tc1,56,105,Eutheria,H3K4me1,3.29849635814902,1,-0.452959892166254
EutTc1-N1,-2.70956424930837,1.83520966710417,DNA/TcMar-Tc1,DNA,TcMar-Tc1,56,105,Eutheria,H3K4me3,1.40752413927643,1,0.000173665768311958
EutTc1-N1,-2.70956424930837,1.83520966710417,DNA/TcMar-Tc1,DNA,TcMar-Tc1,56,105,Eutheria,H3K9me3,23.6596380991332,1,0.0819847789183346
EutTc1-N2,-1.86083051881136,2.96239126753051,DNA/TcMar-Tc1,DNA,TcMar-Tc1,198,105,Eutheria,H3K27ac,1.07302009337002,1,-0.0961125270550041
EutTc1-N2,-1.86083051881136,2.96239126753051,DNA/TcMar-Tc1,DNA,TcMar-Tc1,198,105,Eutheria,H3K27me3,5.01846750881752,1,-0.0641900629500097
EutTc1-N2,-1.86083051881136,2.96239126753051,DNA/TcMar-Tc1,DNA,TcMar-Tc1,198,105,Eutheria,H3K36me3,3.46637759212005,0.999985748017653,0.124489223365342
EutTc1-N2,-1.86083051881136,2.96239126753051,DNA/TcMar-Tc1,DNA,TcMar-Tc1,198,105,Eutheria,H3K4me1,1.65089451737266,1,-0.186858415674816
EutTc1-N2,-1.86083051881136,2.96239126753051,DNA/TcMar-Tc1,DNA,TcMar-Tc1,198,105,Eutheria,H3K4me3,0.691938574307329,1,-0.440823841674287
EutTc1-N2,-1.86083051881136,2.96239126753051,DNA/TcMar-Tc1,DNA,TcMar-Tc1,198,105,Eutheria,H3K9me3,7.08489731209759,1,-0.290228576109547
FAM,3.06116071500133,-2.92013604550166,SINE/Alu,SINE,Alu,4262,64,No,H3K27ac,0.694073446564719,1,-3.01218496541977
FAM,3.06116071500133,-2.92013604550166,SINE/Alu,SINE,Alu,4262,64,No,H3K27me3,0.826936203541388,1,-1.53154875873428
FAM,3.06116071500133,-2.92013604550166,SINE/Alu,SINE,Alu,4262,64,No,H3K36me3,2.4837668032284,0,46.0517808629477
FAM,3.06116071500133,-2.92013604550166,SINE/Alu,SINE,Alu,4262,64,No,H3K4me1,0.996729621166381,1.16814748033581e-24,-0.607383711376384
FAM,3.06116071500133,-2.92013604550166,SINE/Alu,SINE,Alu,4262,64,No,H3K4me3,0.242603761900436,1,-25.9322279458942
FAM,3.06116071500133,-2.92013604550166,SINE/Alu,SINE,Alu,4262,64,No,H3K9me3,0.919639861725319,1,-1.91789260483589
FLAM_A,3.03828765094499,-3.2488550088998,SINE/Alu,SINE,Alu,14934,61,No,H3K27ac,1.36470380531927,1,-1.4045741275985
FLAM_A,3.03828765094499,-3.2488550088998,SINE/Alu,SINE,Alu,14934,61,No,H3K27me3,13.517394518099,1,-2.06489670510167
FLAM_A,3.03828765094499,-3.2488550088998,SINE/Alu,SINE,Alu,14934,61,No,H3K36me3,8.49756324364329,0,25.815202831633
FLAM_A,3.03828765094499,-3.2488550088998,SINE/Alu,SINE,Alu,14934,61,No,H3K4me1,3.78001246357742,5.00927477570224e-58,-0.174460025062469
FLAM_A,3.03828765094499,-3.2488550088998,SINE/Alu,SINE,Alu,14934,61,No,H3K4me3,1.70858718590788,1,-17.4960407856192
FLAM_A,3.03828765094499,-3.2488550088998,SINE/Alu,SINE,Alu,14934,61,No,H3K9me3,20.8240857172744,1,-2.49208781935376
FLAM_C,2.82300197154815,-5.24158956531831,SINE/Alu,SINE,Alu,24406,54,No,H3K27ac,2.84954989423121,0,3.57448433550599
FLAM_C,2.82300197154815,-5.24158956531831,SINE/Alu,SINE,Alu,24406,54,No,H3K27me3,18.2321870744959,1,-0.902960023970089
FLAM_C,2.82300197154815,-5.24158956531831,SINE/Alu,SINE,Alu,24406,54,No,H3K36me3,11.5018555658938,0,9.954234337998
FLAM_C,2.82300197154815,-5.24158956531831,SINE/Alu,SINE,Alu,24406,54,No,H3K4me1,5.39525851683182,0,2.67926223173892
FLAM_C,2.82300197154815,-5.24158956531831,SINE/Alu,SINE,Alu,24406,54,No,H3K4me3,4.81553154123253,0,5.41965773489682
FLAM_C,2.82300197154815,-5.24158956531831,SINE/Alu,SINE,Alu,24406,54,No,H3K9me3,28.468564886048,0.371357656394436,-0.378763973372718
FordPrefect,0.908488043370399,-1.03100602689085,DNA/hAT-Tip100,DNA,hAT-Tip100,599,105,Eutheria,H3K27ac,2.09532253445802,1,-3.60314001490493
FordPrefect,0.908488043370399,-1.03100602689085,DNA/hAT-Tip100,DNA,hAT-Tip100,599,105,Eutheria,H3K27me3,31.7136871527695,0.999964592102277,0.458605057535156
FordPrefect,0.908488043370399,-1.03100602689085,DNA/hAT-Tip100,DNA,hAT-Tip100,599,105,Eutheria,H3K36me3,17.0233748078224,1,-5.37194142297889
FordPrefect,0.908488043370399,-1.03100602689085,DNA/hAT-Tip100,DNA,hAT-Tip100,599,105,Eutheria,H3K4me1,6.6294492405698,1,-3.8765957456125
FordPrefect,0.908488043370399,-1.03100602689085,DNA/hAT-Tip100,DNA,hAT-Tip100,599,105,Eutheria,H3K4me3,3.00706265219727,1,-2.50305365769002
FordPrefect,0.908488043370399,-1.03100602689085,DNA/hAT-Tip100,DNA,hAT-Tip100,599,105,Eutheria,H3K9me3,46.0777693708823,4.08111097364369e-08,0.672884922279512
FordPrefect_a,-0.404701512167514,1.11892286017171,DNA/hAT-Tip100,DNA,hAT-Tip100,281,105,Eutheria,H3K27ac,3.00656842526326,1,-0.517094426553601
FordPrefect_a,-0.404701512167514,1.11892286017171,DNA/hAT-Tip100,DNA,hAT-Tip100,281,105,Eutheria,H3K27me3,46.5746472162536,0.999970050367158,0.58297063787229
FordPrefect_a,-0.404701512167514,1.11892286017171,DNA/hAT-Tip100,DNA,hAT-Tip100,281,105,Eutheria,H3K36me3,25.2041729108064,1,-0.695770558267951
FordPrefect_a,-0.404701512167514,1.11892286017171,DNA/hAT-Tip100,DNA,hAT-Tip100,281,105,Eutheria,H3K4me1,9.72403783395365,1,-0.52469762842451
FordPrefect_a,-0.404701512167514,1.11892286017171,DNA/hAT-Tip100,DNA,hAT-Tip100,281,105,Eutheria,H3K4me3,4.37102679535619,1,-1.19421847591962
FordPrefect_a,-0.404701512167514,1.11892286017171,DNA/hAT-Tip100,DNA,hAT-Tip100,281,105,Eutheria,H3K9me3,67.6751811036898,1,0.166470115249122
FRAM,2.79466836533931,-5.24051063815459,SINE/Alu,SINE,Alu,20221,61,No,H3K27ac,3.17853026481361,0,3.74536220447396
FRAM,2.79466836533931,-5.24051063815459,SINE/Alu,SINE,Alu,20221,61,No,H3K27me3,12.4228102799807,1,0.133056700407644
FRAM,2.79466836533931,-5.24051063815459,SINE/Alu,SINE,Alu,20221,61,No,H3K36me3,7.88903093916307,0,5.41221570876158
FRAM,2.79466836533931,-5.24051063815459,SINE/Alu,SINE,Alu,20221,61,No,H3K4me1,5.4539410300887,0,4.81570044373113
FRAM,2.79466836533931,-5.24051063815459,SINE/Alu,SINE,Alu,20221,61,No,H3K4me3,6.04458705707968,0,3.6480332439545
FRAM,2.79466836533931,-5.24051063815459,SINE/Alu,SINE,Alu,20221,61,No,H3K9me3,18.0439083256663,1,-0.542610576559491
HAL1,0.82277913096078,-5.12884336516843,LINE/L1,LINE,L1,21238,149,No,H3K27ac,1.8417724259958,1,-3.83709405748318
HAL1,0.82277913096078,-5.12884336516843,LINE/L1,LINE,L1,21238,149,No,H3K27me3,22.7733670498174,1,-0.876534281697571
HAL1,0.82277913096078,-5.12884336516843,LINE/L1,LINE,L1,21238,149,No,H3K36me3,13.8717278783436,0.0011343836144444,0.165743062619914
HAL1,0.82277913096078,-5.12884336516843,LINE/L1,LINE,L1,21238,149,No,H3K4me1,5.31209732904773,1,-2.66878081370873
HAL1,0.82277913096078,-5.12884336516843,LINE/L1,LINE,L1,21238,149,No,H3K4me3,2.84340461959171,1,-11.050268806323
