	n_i	n_T.te	n_T.peak	expected	fc.expected	comparison	padj.final	significance
L1MDb	1	580	4692	0.49	1.3	te_in_peak	1	n.s
RLTR26C_MM	1	598	4692	0.51	1.3	te_in_peak	1	n.s
MLT1G	1	670	4692	0.57	1.3	te_in_peak	1	n.s
ORR1D-int	1	619	4692	0.53	1.3	te_in_peak	1	n.s
ORR1B2	7	6164	4692	5.24	1.3	te_in_peak	1	n.s
RMER17B|RMER17B	1	385	4692	0.52	1.3	peak_in_te	1	n.s
RLTR25B	3	2420	4692	2.06	1.3	te_in_peak	1	n.s
ORR1A2|ORR1A2-int|ORR1A2	2	357	4692	1.26	1.3	peak_in_te	1	n.s
L2	20	17486	4692	14.86	1.3	te_in_peak	1	n.s
RMER16-int	1	549	4692	0.55	1.3	peak_in_te	1	n.s
MIRb	48	42258	4692	35.92	1.3	te_in_peak	1	n.s
ORR1A2|ORR1A2	1	657	4692	0.56	1.3	te_in_peak	1	n.s
ORR1B2|ORR1B2	1	573	4692	0.49	1.3	te_in_peak	1	n.s
B3	157	147297	4692	125.2	1.3	te_in_peak	0.572	n.s
MER20	7	6004	4692	5.1	1.3	te_in_peak	1	n.s
LTR33	2	1452	4692	1.23	1.3	te_in_peak	1	n.s
RMER4B|RMER4B	1	706	4692	0.65	1.2	peak_in_te	1	n.s
RMER30	4	3600	4692	3.06	1.2	te_in_peak	1	n.s
ID2	6	5637	4692	4.79	1.2	te_in_peak	1	n.s
ORR1D1	13	13116	4692	11.15	1.2	te_in_peak	1	n.s
MER53	2	1686	4692	1.43	1.2	te_in_peak	1	n.s
MLT1E3	1	743	4692	0.63	1.2	te_in_peak	1	n.s
MLT1N2	1	709	4692	0.6	1.2	te_in_peak	1	n.s
MTA_Mm|MTA_Mm-int	1	366	4692	0.62	1.2	peak_in_te	1	n.s
RMER4A	2	1751	4692	1.49	1.2	te_in_peak	1	n.s
ID4_	26	26402	4692	22.44	1.2	te_in_peak	1	n.s
ID4	24	23958	4692	20.36	1.2	te_in_peak	1	n.s
MT2B	14	13229	4692	11.24	1.2	te_in_peak	1	n.s
RMER13A1	1	785	4692	0.7	1.2	peak_in_te	1	n.s
L1MB5	4	3773	4692	3.21	1.2	te_in_peak	1	n.s
MLT1C|MLT1C	1	754	4692	0.64	1.2	te_in_peak	1	n.s
L1ME2	3	2668	4692	2.27	1.2	te_in_peak	1	n.s
MLT1G3	1	838	4692	0.71	1.2	te_in_peak	1	n.s
MIRc	24	23203	4692	19.72	1.2	te_in_peak	1	n.s
ORR1C1|ORR1C1	1	702	4692	0.6	1.2	te_in_peak	1	n.s
RLTRETN_Mm	1	762	4692	0.65	1.2	te_in_peak	1	n.s
RLTR12A	1	817	4692	0.69	1.2	te_in_peak	1	n.s
Arthur1	1	922	4692	0.78	1.1	te_in_peak	1	n.s
MER2	9	9669	4692	8.22	1.1	te_in_peak	1	n.s
RLTR9E	1	883	4692	0.75	1.1	te_in_peak	1	n.s
MLT1J2	1	983	4692	0.84	1.1	te_in_peak	1	n.s
RMER19B|RMER19B	1	684	4692	0.9	1.1	peak_in_te	1	n.s
Charlie1b	1	963	4692	0.82	1.1	te_in_peak	1	n.s
MER21B	1	979	4692	0.83	1.1	te_in_peak	1	n.s
RMER12B	1	978	4692	0.83	1.1	te_in_peak	1	n.s
RLTR31C_MM	1	966	4692	0.82	1.1	te_in_peak	1	n.s
RMER12|RMER12	1	597	4692	0.85	1.1	peak_in_te	1	n.s
MLTR25A	2	2061	4692	1.75	1.1	te_in_peak	1	n.s
B4A	97	106466	4692	90.5	1.1	te_in_peak	1	n.s
RSINE1	108	115506	4692	98.18	1.1	te_in_peak	1	n.s
RLTR49	1	976	4692	0.83	1.1	te_in_peak	1	n.s
MER2B	1	1064	4692	0.9	1.1	te_in_peak	1	n.s
MLT1A0|MLT1A0	1	869	4692	0.74	1.1	te_in_peak	1	n.s
MTEb	9	9189	4692	7.81	1.1	te_in_peak	1	n.s
MER63D	1	1040	4692	0.88	1.1	te_in_peak	1	n.s
RMER15-int	1	939	4692	0.8	1.1	te_in_peak	1	n.s
RMER15	12	12675	4692	10.77	1.1	te_in_peak	1	n.s
MTEa|MTEa	2	1908	4692	1.62	1.1	te_in_peak	1	n.s
RLTR10B|RLTR10B|MMERVK10C-int|MMERVK10C-int	0	2	4692	0.01	1.0	peak_in_te	1	n.s
RLTR10F|MMERVK10C-int|MMERVK10C-int|MMERVK10C-int	0	4	4692	0.01	1.0	peak_in_te	1	n.s
RLTR10B|MMERVK10C-int|MMERVK10C-int|MMERVK10C-int|RLTR27|MMERVK10C-int|RLTR27|MMERVK10C-int|RLTR27|MMERVK10C-int|RLTR10B	0	1	4692	0.0	1.0	peak_in_te	1	n.s
RLTR10B|RLTR10B|MMERVK10C-int|MMERVK10C-int|MMERVK10C-int	0	1	4692	0.0	1.0	peak_in_te	1	n.s
RLTR10B|MMERVK10C-int|MMERVK10C-int|MMERVK10C-int|MMERVK10C-int|MMERVK10C-int|RLTR10B	0	1	4692	0.0	1.0	peak_in_te	1	n.s
RLTR10B|MMERVK10C-int|MMERVK10C-int|MMERVK10C-int	0	1	4692	0.01	1.0	peak_in_te	1	n.s
RLTR10B|MMERVK10C-int|MMERVK10C-int	0	1	4692	0.0	1.0	peak_in_te	1	n.s
RLTR10B|RLTR10B|MMERVK10C-int|MMERVK10C-int|MMERVK10C-int|MMERVK10C-int|MMERVK10C-int|MMERVK10C-int|MMERVK10C-int|RLTR10B2|RLTR10B2	0	1	4692	0.0	1.0	peak_in_te	1	n.s
RLTR10B2|RLTR10B|RLTR10B|MMERVK10C-int|MMERVK10C-int|MMERVK10C-int|MMERVK10C-int|MMERVK10C-int|RLTR10B2|RLTR10B|RLTR10B	0	1	4692	0.0	1.0	peak_in_te	1	n.s
RLTR10B|RLTR10B|MMERVK10C-int|MMERVK10C-int|MMERVK10C-int|MMERVK10C-int|MMERVK10C-int|RLTR10B|RLTR10B	0	3	4692	0.01	1.0	peak_in_te	1	n.s
RLTR10F|MMERVK10C-int|MMERVK10C-int	0	7	4692	0.03	1.0	peak_in_te	1	n.s
RLTR10B|MMERVK10C-int|MMERVK10C-int|MMERVK10C-int|RLTR10B	0	11	4692	0.04	1.0	peak_in_te	1	n.s
RLTR10F|MMERVK10C-int	0	11	4692	0.03	1.0	peak_in_te	1	n.s
RLTR10F|IAPEY3-int|IAPEY3-int|IAPEY3-int	0	1	4692	0.0	1.0	peak_in_te	1	n.s
RLTR10B|MMERVK10C-int|RLTR27|MMERVK10C-int	0	1	4692	0.0	1.0	peak_in_te	1	n.s
