name,ID,ZNF436_vs_dK_p.val,ZNF436_vs_dK_p.adj,ZNF436_vs_dK_significant,ZNF436_vs_dK_ratio,dK_centered,GFP_centered,wt_centered,ZNF436_centered,role
PAK2,Q13177,0.092085492,0.764,FALSE,0.208,-0.00614,-0.26,-0.218,0.202,
TOP2B,A0A8V8TPE3,0.092139552,0.764,FALSE,0.216,-0.13,0.208,-0.0503,0.0858,
XAB2,Q9HCS7,0.091950721,0.764,FALSE,0.462,0.92,-0.155,-4.5,1.38,
CLUH,K7EIG1,0.093062108,0.765,FALSE,0.333,-0.243,-0.0216,0.321,0.0897,
BCL9L,A0A087WZX0,0.093482299,0.766,FALSE,0.237,-0.202,0.164,0.227,0.0343,
STMN1,P16949,0.093302887,0.766,FALSE,0.848,-0.352,-0.458,0.018,0.496,
DYNC1LI2,O43237-2,0.094526486,0.767,FALSE,-0.159,0.125,-0.311,0.0239,-0.0339,
NCOA5,Q9HCD5,0.094576432,0.767,FALSE,0.249,-0.00319,0.0323,-0.506,0.246,
STK38L,Q9Y2H1,0.094917575,0.768,FALSE,-0.21,0.149,-0.102,-0.107,-0.0614,
ATP2A2,P16615,0.095405936,0.769,FALSE,-0.221,0.29,-0.00449,-0.716,0.0692,
HMGB2,P26583,0.095384844,0.769,FALSE,0.437,-0.0694,0.34,-0.824,0.368,
RPS26,P62854,0.095524854,0.769,FALSE,-0.165,-0.0463,0.308,0.309,-0.211,
SMARCE1,Q969G3,0.09535572,0.769,FALSE,0.89,0.454,-0.303,-3.39,1.34,
DNAJA3,Q96EY1,0.095992278,0.77,FALSE,-0.238,0.158,-0.138,-0.0647,-0.0796,
ZNF281,Q9Y2X9-2,0.097337532,0.771,FALSE,1.07,0.126,0.623,-3.07,1.2,
AASDHPPT,Q9NRN7,0.097444138,0.772,FALSE,-0.307,0.204,0.0763,-0.251,-0.104,
DARS,P14868,0.098257854,0.773,FALSE,-0.12,0.045,0.0207,0.0454,-0.0745,
DNM2,P50570-5,0.098305178,0.773,FALSE,-0.135,0.0419,0.0473,0.0702,-0.0928,
NOC3L,Q8WTT2,0.098140034,0.773,FALSE,-0.342,0.2,0.0359,-0.139,-0.142,
RBM22,Q9NW64-2,0.098593446,0.773,FALSE,0.332,-0.0514,-0.355,-0.222,0.281,
BCKDHA,F5H5P2,0.099323788,0.774,FALSE,-0.17,0.174,-0.0711,-0.307,0.00348,
EIF3D,O15371-2,0.099411553,0.774,FALSE,0.161,-0.123,0.0249,0.154,0.038,
RPL18,G3V203,0.100388869,0.776,FALSE,-0.134,0.0225,0.138,0.0869,-0.112,
VCL,P18206-2,0.100785465,0.776,FALSE,0.883,-0.349,-0.743,0.127,0.534,
DCAF7,A0A087WWI6,0.101377036,0.777,FALSE,-0.215,0.142,0.0902,-0.2,-0.0726,
MRPL16,Q9NX20,0.10118888,0.777,FALSE,-0.265,0.226,-0.0447,-0.344,-0.0391,
PHLDB1,Q86UU1-2,0.101155264,0.777,FALSE,-0.166,0.047,0.0748,0.0945,-0.119,
RFTN1,Q14699,0.101353435,0.777,FALSE,-0.252,0.336,0.17,-0.952,0.0836,
FN1,P02751-1,0.102114076,0.778,FALSE,-0.672,0.15,0.178,0.625,-0.522,
RBFOX2,O43251-6,0.101978886,0.778,FALSE,-0.231,0.165,0.00423,-0.201,-0.066,
SRSF2,J3KP15,0.102272296,0.778,FALSE,0.291,-0.011,-0.307,-0.334,0.28,
MAP2K2,P36507,0.102940668,0.779,FALSE,-0.18,0.142,-0.173,-0.0933,-0.038,
EMILIN1,Q9Y6C2,0.10378086,0.78,FALSE,-1.22,0.61,0.793,-0.54,-0.605,
EXOC6,E7EW84,0.103432087,0.78,FALSE,-0.241,0.0913,0.0444,0.0876,-0.15,
GPAA1,E9PLV6,0.10403338,0.78,FALSE,-0.177,0.327,-0.284,-0.764,0.15,
CTSC,A0A7I2V6E3,0.104578245,0.781,FALSE,0.274,-0.204,-0.117,0.345,0.0699,
ACAD9,Q9H845,0.104976695,0.782,FALSE,-0.127,0.0647,-0.0811,0.0489,-0.0621,
CTBP2,P56545,0.105098781,0.782,FALSE,0.189,-0.164,0.0665,0.234,0.025,
SMC3,Q9UQE7,0.105342672,0.782,FALSE,0.16,-0.0809,-0.198,0.136,0.0787,
SSRP1,Q08945,0.106270548,0.783,FALSE,0.175,-0.0822,0.274,-0.203,0.0923,
TCAF1,Q9Y4C2-2,0.106265587,0.783,FALSE,-0.197,0.0898,-0.316,0.246,-0.107,
DNAJA1,P31689,0.106801765,0.784,FALSE,-0.239,0.00694,0.129,0.365,-0.232,
SCAF11,F8VXG7,0.10792276,0.785,FALSE,0.543,0.061,-0.512,-0.989,0.604,
TIMM44,O43615,0.107882168,0.785,FALSE,-0.282,0.13,0.15,-0.0545,-0.152,
CRYZ,Q08257,0.108574689,0.786,FALSE,0.3,-0.158,-0.251,0.2,0.142,
NES,P48681,0.108402902,0.786,FALSE,-0.223,0.216,-0.253,-0.25,-0.00685,
ARPC2,O15144,0.109581836,0.787,FALSE,-1.04,0.662,-0.207,-0.426,-0.38,
MRPL44,Q9H9J2,0.1098554,0.787,FALSE,-0.841,0.473,-0.185,-0.0867,-0.368,
PFN1,P07737,0.109318373,0.787,FALSE,0.692,-0.467,0.234,0.329,0.225,
RBM33,Q96EV2,0.109072315,0.787,FALSE,0.27,0.0998,-0.418,-0.66,0.37,
ZCCHC3,Q9NUD5,0.109570587,0.787,FALSE,0.223,-0.229,0.909,-0.136,-0.00591,
PRPF6,O94906,0.110389469,0.788,FALSE,0.127,-0.0312,-0.123,-0.0473,0.0958,
COL3A1,P02461,0.111171514,0.789,FALSE,-0.773,0.374,0.592,-0.344,-0.399,
FLG2,CON__Q5D862,0.111306729,0.789,FALSE,-0.671,0.42,-0.366,-0.0948,-0.251,
RUVBL1,Q9Y265,0.110943494,0.789,FALSE,0.354,-0.316,0.458,0.251,0.0378,
PNN,Q9H307,0.112313795,0.79,FALSE,0.195,0.025,-0.288,-0.298,0.22,
CDIPT,B3KY94,0.1127356,0.791,FALSE,-0.512,0.283,0.00163,-0.11,-0.229,
PTRH2,J3KQ48,0.113144423,0.791,FALSE,-0.195,-0.0738,0.136,0.594,-0.269,
SFXN1,Q9H9B4,0.112939991,0.791,FALSE,-0.208,0.198,0.0156,-0.386,-0.0103,
USP39,A0A087X1B2,0.113259509,0.791,FALSE,-0.184,0.0566,0.123,0.0603,-0.128,
BMS1,Q14692,0.114278574,0.792,FALSE,0.282,-0.0721,0.553,-0.644,0.21,
FAM184B,Q9ULE4,0.114208734,0.792,FALSE,-0.995,1.19,0.423,-3.03,0.19,
PRCP,E9PNF7,0.114282909,0.792,FALSE,0.262,-0.184,-0.342,0.441,0.0779,
