"","TEsubFam","X1","X2"
"Kanga1b","Kanga1b",1.64418495684802,0.00193375298673182
"Kanga1c","Kanga1c",2.72234805397198,-1.3975058822398
"Kanga1d","Kanga1d",2.47560663966042,-0.2303207101468
"Kanga2_a","Kanga2_a",2.87008916282127,-2.3575201619671
"L1HS","L1HS",-3.53912531346031,-1.27307903749398
"L1M","L1M",-0.0672807977070378,-5.49432433979213
"L1M1","L1M1",-2.51533895144951,-2.64662624522222
"L1M2","L1M2",-2.47782986847728,-2.56955452321309
"L1M2a","L1M2a",-2.54365768632476,-2.1269231100544
"L1M2a1","L1M2a1",-2.66851355148719,-1.81913313527987
"L1M2b","L1M2b",-2.69725224274197,-1.66809945308455
"L1M2c","L1M2c",-2.61240534585335,-2.37357687352578
"L1M3","L1M3",-2.58362688936654,-2.45338723927945
"L1M3a","L1M3a",-2.27602336629392,-1.9973501831812
"L1M3b","L1M3b",-2.71073479679462,-2.31650721922893
"L1M3c","L1M3c",-2.6794266927782,-2.63942988303267
"L1M3d","L1M3d",-2.55469991782634,-2.19890745126402
"L1M3de","L1M3de",-2.59391217275315,-2.14036602027366
"L1M3e","L1M3e",-2.68063104238129,-2.29539944651752
"L1M3f","L1M3f",-2.59196824040083,-2.49259027843974
"L1M4","L1M4",-0.252548283952944,-5.49827739465028
"L1M4a1","L1M4a1",0.346121421741683,-5.05176376703123
"L1M4a2","L1M4a2",-2.45871294058455,-2.45559740577695
"L1M4b","L1M4b",-2.4604137670455,-2.46392158667912
"L1M4c","L1M4c",-2.50253528633386,-2.68258238275559
"L1M5","L1M5",0.116678042566331,-5.83864974142686
"L1M6","L1M6",1.11596239708715,-4.23663109161687
"L1M6B","L1M6B",2.53780174475501,-0.912863100018837
"L1M7","L1M7",1.43655657690632,-4.02580088036461
"L1M8","L1M8",1.49333038059986,-3.89099162094818
"L1MA1","L1MA1",0.365833046003812,-5.3600894145302
"L1MA10","L1MA10",0.454113914231109,-5.25305471039582
"L1MA2","L1MA2",-2.79559197359264,-1.67817152999205
"L1MA3","L1MA3",-2.76237488359972,-1.89919938582612
"L1MA4","L1MA4",-2.50977219841856,-2.64490430887253
"L1MA4A","L1MA4A",-2.53580260168683,-2.62423133815739
"L1MA5","L1MA5",-2.30830860376722,-2.73310373281107
"L1MA5A","L1MA5A",0.0520240032446804,-5.10395658003923
"L1MA6","L1MA6",-2.60973738371633,-2.47214030625446
"L1MA7","L1MA7",0.0460572065650822,-5.70480422894648
"L1MA8","L1MA8",-0.0446083834115995,-5.88379147015195
"L1MA9","L1MA9",-0.00947895854874325,-5.79310253084054
"L1MB1","L1MB1",-0.00167536002730706,-5.70257113434128
"L1MB2","L1MB2",0.246988917619412,-5.11083151234715
"L1MB3","L1MB3",0.156709649915214,-5.29966097270026
"L1MB4","L1MB4",0.237218589661077,-5.21205237522575
"L1MB5","L1MB5",0.261937024612675,-5.08539187213487
"L1MB7","L1MB7",-0.0307482612340739,-5.64464971037936
"L1MB8","L1MB8",0.199655464145444,-5.67100877291964
"L1MC","L1MC",0.284992212559186,-5.57595961761203
"L1MC1","L1MC1",-2.74889981466743,-1.57889564447469
"L1MC2","L1MC2",0.523907385614142,-5.35413947110982
"L1MC3","L1MC3",0.218645573369525,-5.80268833307973
"L1MC4","L1MC4",0.643992266364697,-5.81829094269771
"L1MC4a","L1MC4a",0.681046743826941,-5.59319060639072
"L1MC5","L1MC5",0.656092937748304,-5.73608355513125
"L1MC5a","L1MC5a",0.587488062937201,-5.80736871792495
"L1MCa","L1MCa",0.0890848949766568,-5.77496970290181
"L1MCb","L1MCb",0.72766162553504,-4.93288208028754
"L1MCc","L1MCc",0.664539633848496,-4.78323972316787
"L1MD","L1MD",0.23626844781357,-5.3446536724864
"L1MD1","L1MD1",-2.50101956814863,-2.12659564748374
"L1MD2","L1MD2",0.313965479668526,-5.69511334833183
"L1MD3","L1MD3",1.2804056986041,-4.54251125863887
"L1MDa","L1MDa",-2.55316193232985,-2.30444089420298
"L1MDb","L1MDb",1.12381208108179,-3.02018684366061
"L1ME1","L1ME1",0.0875464708186801,-5.85720196082944
"L1ME2","L1ME2",0.421678807286428,-5.63602809864976
"L1ME2z","L1ME2z",0.860016255326907,-4.99867186512276
"L1ME3","L1ME3",0.664294027855534,-5.16251658346639
"L1ME3A","L1ME3A",0.496016483851494,-5.7444047255125
"L1ME3B","L1ME3B",0.65493504934918,-5.07598517683888
"L1ME3C","L1ME3C",0.616252331931451,-5.30062368459908
"L1ME3Cz","L1ME3Cz",0.417899947664084,-5.78571288367761
"L1ME3D","L1ME3D",1.05121730004838,-4.7621938857276
"L1ME3E","L1ME3E",0.926344580725944,-4.95633425677986
"L1ME3F","L1ME3F",1.094434687369,-4.76169135114582
"L1ME3G","L1ME3G",0.531364284269778,-5.83463787784413
"L1ME4a","L1ME4a",0.566803902498442,-5.84754150538559
"L1ME4b","L1ME4b",0.612506236451556,-5.82349042806352
"L1ME4c","L1ME4c",3.13097949669145,-3.89240672007749
"L1ME5","L1ME5",1.87016836591573,-3.50343611107815
"L1MEa","L1MEa",1.50325369654811,-1.3574763563868
"L1MEb","L1MEb",2.27711022682868,-2.2322297679533
"L1MEc","L1MEc",-0.0727033014867562,-5.72270690608596
"L1MEd","L1MEd",0.218249817752106,-5.93101436492658
"L1MEf","L1MEf",-0.00216571077160843,-5.6678075425354
"L1MEg","L1MEg",-0.0122663353870179,-5.56312723752041
"L1MEg1","L1MEg1",2.36697117341298,-0.945009603874925
"L1MEg2","L1MEg2",1.77471888463808,-1.75575058446178
"L1MEh","L1MEh",1.02246220280916,-4.35124478199383
"L1MEi","L1MEi",0.593256480569916,-5.27046365943318
"L1MEj","L1MEj",1.1391823299351,-4.26199905714467
"L1P","L1P",-3.66017903631866,-1.17721264100264
"L1P1","L1P1",-2.39685861404713,2.99927158721109
"L1P2","L1P2",-2.36971697346526,2.72192814327231
"L1P3","L1P3",-2.49909731805853,2.40683067135898
"L1P3b","L1P3b",-2.43417197385227,2.62862992382545
"L1P4","L1P4",0.323821109899184,-5.52679099377454
"L1P4a","L1P4a",-2.37037830460252,2.4437657927043
"L1P4b","L1P4b",-2.40420156668012,2.87323541155206
"L1P4d","L1P4d",-2.42338508129754,2.69251971685469
"L1P4e","L1P4e",-2.4264410600084,3.00657362611654
"L1P5","L1P5",1.53194087195909,-2.05695264222034
"L1PA10","L1PA10",-3.4697395311837,-1.3509411691328
"L1PA11","L1PA11",-3.49988310284794,-1.31181814710165
"L1PA12","L1PA12",-2.610413316407,3.22387054245905
"L1PA13","L1PA13",-3.46207166790462,-1.34629523084176
"L1PA14","L1PA14",-3.34758470869654,-1.40780678368322
"L1PA15","L1PA15",-2.89532176340412,-1.90101899853373
"L1PA15-16","L1PA15-16",-2.83832877541703,-1.96351604546255
"L1PA16","L1PA16",-3.33528526145859,-1.46554232719916
"L1PA17","L1PA17",-2.76531594449692,-1.74101389098249
"L1PA2","L1PA2",-3.63314838445713,-1.21126029725203
"L1PA3","L1PA3",-3.63246197073357,-1.22030012204196
"L1PA4","L1PA4",-3.62035367435874,-1.23941846566469
"L1PA5","L1PA5",-3.61682700528109,-1.24090544806098
"L1PA6","L1PA6",-3.5991972785504,-1.25978850209174
"L1PA7","L1PA7",-3.57615522908865,-1.30267154821074
"L1PA8","L1PA8",-3.53950348708192,-1.27951657933079
"L1PA8A","L1PA8A",-3.5044103373638,-1.28265122960478
"L1PB","L1PB",0.133376894377711,-5.41167370885142
"L1PB1","L1PB1",-2.56191885521728,-2.31693899285473
"L1PB2","L1PB2",-2.64043930441186,-1.98107945826257
"L1PB3","L1PB3",-2.61566515150162,-2.14244091973816
"L1PB4","L1PB4",0.0215922170802728,-5.7549808510923
"L1PBa","L1PBa",-2.5239108770082,-2.1921262210573
"L1PBa1","L1PBa1",-2.03961905538914,2.46297281157878
"L1PBb","L1PBb",-2.64636356749534,-1.63322458595553
"L1PREC2","L1PREC2",-3.43303404968602,-1.36647129077754
"L2","L2",3.60611784079875,-4.1572184382611
"L2-1_AMi","L2-1_AMi",2.57463743132065,-0.935306200061112
"L2-1_Crp","L2-1_Crp",-1.99506078819101,3.04946536913905
"L2-2_Mam","L2-2_Mam",1.47127265708165,1.85237630396247
"L2-3_AMi","L2-3_AMi",-1.07012501647333,3.5433895926731
"L2-3_Crp","L2-3_Crp",3.86030124766605,-1.01139959595484
"L2a","L2a",3.63052600956753,-4.21473698161384
"L2b","L2b",3.66378607263058,-4.21537427642784
"L2c","L2c",3.67252034830083,-4.22302673235027
"L2d","L2d",3.64846243854544,-4.05682148623176
"L2d2","L2d2",3.6432415494884,-4.0936422428816
"L3","L3",3.80338006006591,-3.45642617561923
"L3b","L3b",3.99643508238042,-3.25717657780861
"L4_A_Mam","L4_A_Mam",3.01801898395793,-3.87988044446492
"L4_B_Mam","L4_B_Mam",3.52325418599007,-2.71415765617601
"L4_C_Mam","L4_C_Mam",3.11699082538246,-3.75797642346158
"L5","L5",1.9698656455564,1.5433728038037
"LFSINE_Vert","LFSINE_Vert",4.59526456550612,-1.47896650996406
"LOR1-int","LOR1-int",-2.14523768666133,-0.106054908711565
"LOR1a","LOR1a",-1.15711695372601,0.997616434601619
"LOR1b","LOR1b",-1.09975565418566,0.726659480466211
"LTR06","LTR06",-2.04225575939307,1.02347433579477
"LTR1","LTR1",-3.77026963639817,3.11716492209323
"LTR101_Mam","LTR101_Mam",2.56386631470025,-1.97960565943401
"LTR102_Mam","LTR102_Mam",1.43843224492046,-1.13478840117199
"LTR103_Mam","LTR103_Mam",0.562999458484718,-0.881008368335622
"LTR103b_Mam","LTR103b_Mam",0.725634599104556,-0.374276661283536
"LTR104_Mam","LTR104_Mam",1.44334319126314,-2.73840694542178
"LTR105_Mam","LTR105_Mam",2.18269477479426,-0.94937749080094
"LTR106_Mam","LTR106_Mam",1.7904907507296,-0.140957972598308
"LTR107_Mam","LTR107_Mam",1.13455811650918,0.824184904066612
"LTR108a_Mam","LTR108a_Mam",-1.90941779305456,1.81476417630285
"LTR108b_Mam","LTR108b_Mam",-1.85340242298657,1.86332052437417
"LTR108c_Mam","LTR108c_Mam",-1.23549180787386,2.67096375654123
"LTR108d_Mam","LTR108d_Mam",-1.15323005890723,1.86643559080662
"LTR108e_Mam","LTR108e_Mam",-0.941361690810921,1.5759790248713
"LTR109A2","LTR109A2",-1.7595282928165,2.93932870709151
"LTR10A","LTR10A",-4.02561966951354,3.26696798008239
"LTR10B","LTR10B",-3.97539494581211,3.2504836825945
"LTR10B1","LTR10B1",-3.9821311563649,3.27620624559467
"LTR10B2","LTR10B2",-3.96275611293815,3.24494314577974
"LTR10C","LTR10C",-3.92635288719841,3.21697793984794
"LTR10D","LTR10D",-2.67813937673488,2.70055925509075
"LTR10E","LTR10E",-4.1006592268627,3.33266753459973
"LTR10F","LTR10F",-3.06159273057732,2.39656721777112
"LTR10G","LTR10G",-3.93726575618036,3.22132381305289
"LTR12","LTR12",-3.36543891376895,2.85097149645841
"LTR12C","LTR12C",-3.34868976199004,2.8236777064331
"LTR12D","LTR12D",-3.27509864222644,2.85001156164201
"LTR12E","LTR12E",-3.00047311721664,3.10785390092161
"LTR12F","LTR12F",-0.574966347923799,1.0670642326279
"LTR12_","LTR12_",-1.98373636314831,2.44159989995582
"LTR13","LTR13",-1.65554062469664,3.74677665552582
"LTR13A","LTR13A",-2.10758762211262,3.07593556921318
"LTR13_","LTR13_",-1.6389734306234,3.75009675448702
"LTR14","LTR14",-2.99532101796081,2.10621347810211
"LTR14A","LTR14A",-3.04637033614782,2.13182319852584
"LTR14B","LTR14B",-3.04400344789742,2.14498510175355
"LTR14C","LTR14C",-2.50631864713386,2.46812125003781
"LTR15","LTR15",-1.36310672043308,3.08599812714855
"LTR16","LTR16",1.52882288314931,-2.93018989429503
"LTR16A","LTR16A",1.65668745541188,-3.21563592742061
"LTR16A1","LTR16A1",1.96523819799713,-3.11562222745604
"LTR16A2","LTR16A2",0.361444776586128,-2.75051266204104
"LTR16B","LTR16B",2.20234653163493,-1.27805570643321
"LTR16B1","LTR16B1",2.36709331901189,-1.35711712064075
"LTR16B2","LTR16B2",1.99562614591192,-1.37450110969073
"LTR16C","LTR16C",1.36994646813676,-3.81471756751938
"LTR16D","LTR16D",1.236193492956,-0.954199282067269
"LTR16D1","LTR16D1",-0.145874817088481,1.08751739917372
"LTR16D2","LTR16D2",0.354486012635499,0.811642190881352
"LTR16E1","LTR16E1",1.70782859782439,-3.16860055142217
"LTR16E2","LTR16E2",1.48558300057321,-2.94624388110458
"LTR17","LTR17",-2.91531298657787,2.42077496363603
"LTR18A","LTR18A",-2.20365291493889,3.12891844878182
"LTR18B","LTR18B",-1.04406160540235,3.32815346804181
"LTR19-int","LTR19-int",-1.86562552462784,2.83832408456766
"LTR19A","LTR19A",-1.12227344129124,1.81652679679066
"LTR19B","LTR19B",-1.81312760466544,2.74555633250336
"LTR19C","LTR19C",-2.52646390084173,4.14920187684294
"LTR1A1","LTR1A1",-2.61569163524984,4.69110104418835
"LTR1A2","LTR1A2",-2.43190621610675,2.57600288799856
