subfam_name,n_i,n_T.te,n_T.peak,expected,fc.expected,comparison,padj.final,significance,ZNF,kzfp,age
L2a,59,166340,394,22.08,2.6,te_in_peak,6.78e-08,****,ZNF662_pubM,ZNF662,105
L2c,39,126360,394,16.77,2.3,te_in_peak,0.00147,**,ZNF662_pubM,ZNF662,105
L2,94,54017,4469,44.05,2.1,te_in_peak,8.18e-09,****,ZNF671_pubM,ZNF671,105
L2,63,54017,8555,43.75,1.4,peak_in_te,0.0786,n.s,ZNF677_lowconf,ZNF677,105
L2a,1127,166340,42748,1061.31,1.1,te_in_peak,0.208,n.s,ZNF679_IP_S0,ZNF679,43.1
L2,227,54017,18941,162.06,1.4,te_in_peak,1.73e-05,****,ZNF680_pubM,ZNF680,43.1
L2c,440,126360,18941,379.1,1.2,te_in_peak,0.0167,*,ZNF680_pubM,ZNF680,43.1
L2,210,54017,14138,116.62,1.8,te_in_peak,1.29e-13,****,ZNF680_rep_pubM,ZNF680,43.1
L2d2,145,52674,14138,113.72,1.3,te_in_peak,0.0282,*,ZNF680_rep_pubM,ZNF680,43.1
L2c,364,126360,14138,272.81,1.3,te_in_peak,1.62e-06,****,ZNF680_rep_pubM,ZNF680,43.1
L2a,455,166340,14138,359.13,1.3,te_in_peak,1.22e-05,****,ZNF680_rep_pubM,ZNF680,43.1
L2d,74,27881,14138,60.2,1.2,te_in_peak,0.328,n.s,ZNF680_rep_pubM,ZNF680,43.1
L2c,51,126360,1891,34.75,1.5,te_in_peak,0.322,n.s,ZNF716_pubM,ZNF716,43.1
L2b,53,91943,215,2.47,15.6,te_in_peak,1.65e-47,****,19_05_12_293T_ZKSCAN1HA_IP_S6,ZKSCAN1,163.7
L2d2,15,52674,215,1.42,6.6,te_in_peak,1.11e-08,****,19_05_12_293T_ZKSCAN1HA_IP_S6,ZKSCAN1,163.7
L2a,29,166340,215,4.47,5.5,te_in_peak,4.38e-12,****,19_05_12_293T_ZKSCAN1HA_IP_S6,ZKSCAN1,163.7
MIRb,35,223887,215,6.02,5.1,te_in_peak,3.21e-13,****,19_05_12_293T_ZKSCAN1HA_IP_S6,ZKSCAN1,163.7
L2d,5,27881,215,0.75,3.4,te_in_peak,0.208,n.s,19_05_12_293T_ZKSCAN1HA_IP_S6,ZKSCAN1,163.7
L2c,12,126360,215,3.4,3,te_in_peak,0.0523,n.s,19_05_12_293T_ZKSCAN1HA_IP_S6,ZKSCAN1,163.7
L2,363,54017,33967,290.54,1.2,te_in_peak,0.000448,***,ZNF479_pubM,ZNF479,19.9
MIR3,530,87870,33967,472.62,1.1,te_in_peak,0.0527,n.s,ZNF479_pubM,ZNF479,19.9
L2,145,54017,8444,66.79,2.2,te_in_peak,9.59e-15,****,ZNF485_pubM,ZNF485,105
L2c,248,126360,8444,156.25,1.6,te_in_peak,6.26e-10,****,ZNF485_pubM,ZNF485,105
L2a,287,166340,8444,205.68,1.4,te_in_peak,3.03e-06,****,ZNF485_pubM,ZNF485,105
L2b,162,91943,8444,113.69,1.4,te_in_peak,0.000523,***,ZNF485_pubM,ZNF485,105
L2a,14,166340,179,3.48,3.3,te_in_peak,0.00675,**,ZNF493_IP_S0,ZNF493,29.1
L2,404,54017,35955,331.85,1.2,te_in_peak,0.00241,**,ZNF534_pubM,ZNF534,0
L2b,609,91943,35955,564.85,1.1,te_in_peak,0.383,n.s,ZNF534_pubM,ZNF534,0
L2a,1083,166340,35955,1021.91,1.1,te_in_peak,0.358,n.s,ZNF534_pubM,ZNF534,0
MIR3,580,87870,35955,539.83,1.1,te_in_peak,0.448,n.s,ZNF534_pubM,ZNF534,0
L2,99,54017,6854,64.93,1.5,te_in_peak,0.00237,**,ZNF585A_pubM,ZNF585A,105
L2a,230,166340,6854,199.96,1.1,te_in_peak,0.294,n.s,ZNF585A_pubM,ZNF585A,105
